Date,Close,High,Low,Open,Volume,Ticker
2024-06-12,218.609375,220.52325255501813,215.5005432536007,215.5005432536007,3609500,LOW
2024-06-13,220.39695739746094,220.92156674665662,217.0161037077745,219.53231331284323,2116600,LOW
2024-06-14,216.98695373535156,219.31857383989825,215.11193009101203,218.40535127132574,1936600,LOW
2024-06-17,220.3095245361328,220.75641123565057,215.29652488015464,216.02515803396264,1700800,LOW
2024-06-18,221.28102111816406,222.67027445948574,220.48437513922102,221.02841882041213,2072900,LOW
2024-06-20,221.04786682128906,221.86393239340964,218.68710252535186,220.33866803771377,2377800,LOW
2024-06-21,222.07766723632812,223.54465814418216,220.09579157501312,221.19358878278527,3627300,LOW
2024-06-24,221.88336181640625,223.4572046452881,221.26159546711278,222.24281608619307,3463000,LOW
2024-06-25,211.0607452392578,220.5912648963906,210.7984331427635,220.33867739640945,3892000,LOW
2024-06-26,212.54713439941406,212.91631325191537,209.7200343769065,210.29323702265293,2601200,LOW
2024-06-27,213.5380859375,214.0432757258481,211.86708610410773,213.2952082271125,2654600,LOW
2024-06-28,214.17930603027344,215.24795915822588,212.14883692141117,213.89755955924647,12630400,LOW
2024-07-01,207.47586059570312,214.21814845638727,207.39813794662533,213.18834929824558,2569200,LOW
2024-07-02,207.61187744140625,208.7291238766458,205.76601265146957,206.63065676398855,2173700,LOW
2024-07-03,207.22325134277344,210.81783824668003,206.98037364894085,209.6811724184329,1423500,LOW
2024-07-05,207.7964324951172,208.71936473734115,206.47517728997124,206.63062256683017,1907400,LOW
2024-07-08,210.96356201171875,212.08080831409822,208.67079595552013,208.87481974391093,2947500,LOW
2024-07-09,210.16696166992188,211.00246166429167,209.0788741699353,209.81721714148614,2571700,LOW
2024-07-10,214.4512939453125,214.61644899827724,210.7109715295742,211.3716065655111,2007000,LOW
2024-07-11,223.20462036132812,223.42806370866256,217.17153139066426,219.182565988912,3006900,LOW
2024-07-12,227.4112548828125,231.27786380176292,223.77779907361906,224.53557632848677,3180600,LOW
2024-07-15,225.55567932128906,228.39248931313873,224.0595590880833,227.33354601129258,2074600,LOW
2024-07-16,234.10496520996094,234.1438191204532,225.48766891663587,226.1871578981272,2356500,LOW
2024-07-17,236.11598205566406,238.6322063338865,230.96698659323187,232.62826178610607,3958800,LOW
2024-07-18,232.550537109375,239.93402517161869,231.13213963275183,235.0570367701249,2606700,LOW
2024-07-19,231.72476196289062,234.16324875312364,231.0738515007347,232.579681393144,2739300,LOW
2024-07-22,233.42491149902344,234.52270865760417,229.83032438938696,232.6282655021005,2308500,LOW
2024-07-23,231.52073669433594,235.08617955634668,230.75324968387562,234.22153553612148,2211000,LOW
2024-07-24,226.1613006591797,233.40486456491098,225.94653067336333,230.86669684447742,2756800,LOW
2024-07-25,229.18759155273438,233.00460739312305,225.54627358679156,226.30774027978003,2142600,LOW
2024-07-26,233.19007873535156,236.7532969699624,230.45666982151923,230.6323825819964,1942500,LOW
2024-07-29,234.09799194335938,235.24992652381323,231.6867228920431,232.60437377258776,2082300,LOW
2024-07-30,235.65992736816406,236.61663541993445,232.6336488438013,234.47870737798425,1782500,LOW
2024-07-31,239.6721954345703,243.06945783484485,235.50373930534442,236.87044379099854,3054700,LOW
2024-08-01,235.62088012695312,242.3665759358255,233.336524826848,240.96081424469568,2022800,LOW
2024-08-02,234.7032470703125,234.80087521023734,229.60736800226138,232.60437612559332,2258800,LOW
2024-08-05,231.3840789794922,235.25968044536637,227.20585116019575,230.71048360137863,3058000,LOW
2024-08-06,234.92776489257812,238.40312693450042,230.06618460951944,230.06618460951944,2319500,LOW
2024-08-07,226.08319091796875,237.55379645055973,225.6048517951315,235.95279338057273,3355400,LOW
2024-08-08,230.71047973632812,231.17906198874604,225.5072162068961,226.6689224313157,2084300,LOW
2024-08-09,230.2223663330078,232.09671021791476,228.7287483169732,230.17355226859627,1675500,LOW
2024-08-12,225.57557678222656,229.16806582918872,223.92575956926095,229.16806582918872,2592300,LOW
