Date,Close,High,Low,Open,Volume,Ticker
2024-04-18,162.7952423095703,165.7084180055818,162.4810743092829,165.39425000529437,2276200,AMT
2024-04-19,163.08084106445312,164.70878525440688,162.50010895228903,163.5568505161727,2867400,AMT
2024-04-22,164.03286743164062,164.64215897649913,162.804754855396,163.39501648051188,2603800,AMT
2024-04-23,165.82266235351562,167.62199220808984,163.20461010499483,164.21376244681662,2659000,AMT
2024-04-24,165.03248596191406,167.02220202276854,164.08998199940913,164.38510554100452,3029300,AMT
2024-04-25,164.6040802001953,164.90873325467655,163.06181406019124,163.50926415479984,1862300,AMT
2024-04-26,163.45213317871094,166.5461947156493,163.10940578124536,164.4327115190543,1701400,AMT
2024-04-29,166.5937957763672,167.1364390060461,164.8896737773407,164.94679258818522,2104800,AMT
2024-04-30,163.32835388183594,168.43117557076351,162.28114184808126,167.10786993169404,3710600,AMT
2024-05-01,168.3550262451172,170.23050472330422,163.2712485803821,164.9658411352938,3877100,AMT
2024-05-02,171.0206756591797,171.07779446926355,166.95555086389462,169.4688801941747,3278100,AMT
2024-05-03,173.0199432373047,176.0187973623976,172.47728541899133,174.6954914956224,3130300,AMT
2024-05-06,170.11627197265625,173.93386281049536,169.00241152161576,173.53401658653132,2297900,AMT
2024-05-07,172.5819854736328,172.74382694385028,170.63034381828336,171.34435799511934,2594800,AMT
2024-05-08,172.62962341308594,172.81050936453533,169.94492260524282,171.31583241974496,2014400,AMT
2024-05-09,177.42776489257812,178.74155567603717,173.22937241469393,173.87673831997998,2588000,AMT
2024-05-10,175.6379852294922,177.7514685077273,173.7434622471732,177.52297872503874,3158100,AMT
2024-05-13,176.12351989746094,177.29449923255834,174.26708570117054,176.46624732805742,1842700,AMT
2024-05-14,177.98948669433594,178.60829326170395,176.5043247846688,177.41826945779798,2008300,AMT
2024-05-15,182.80670166015625,184.93921503056546,181.97843521028827,181.97843521028827,2815200,AMT
2024-05-16,185.5865936279297,186.795661873888,182.32116077309524,182.45444285737474,2616900,AMT
2024-05-17,185.1772003173828,186.17682311796023,183.92054286007752,186.17682311796023,2157300,AMT
2024-05-20,182.55914306640625,185.72936781662253,182.46394989029716,184.6916706791013,1733500,AMT
2024-05-21,184.81544494628906,185.00584583253843,181.15016614769894,182.31163043847343,1527300,AMT
2024-05-22,182.1593017578125,184.92016541897303,181.0930451861402,184.30134438768326,1681100,AMT
2024-05-23,177.64674377441406,182.37827916848573,177.56105102774174,180.67415709489188,1768800,AMT
2024-05-24,177.0088653564453,179.4650758373917,176.63757857017757,178.17032956510963,1257900,AMT
2024-05-28,176.15206909179688,178.70348748865965,175.99974256999622,177.60865695570612,1828300,AMT
2024-05-29,176.42816162109375,177.5324925805759,174.2575450156992,174.5526830973319,1977700,AMT
2024-05-30,181.62619018554688,181.8546799833554,176.447204315148,177.4563421671515,2850400,AMT
2024-05-31,186.3481903076172,187.7286148487105,181.99745683126372,182.6733966622761,7331900,AMT
2024-06-03,187.51918029785156,188.33791720453453,185.63418677843057,186.59572072194206,2333200,AMT
2024-06-04,190.7941131591797,191.9079735402121,187.54772519104893,188.49974410064817,3236300,AMT
2024-06-05,188.68064880371094,191.2510972102242,188.21415426196475,190.65132058893016,1737100,AMT
2024-06-06,189.91827392578125,190.43235778968375,187.31925161867312,188.4997603982384,1865800,AMT
2024-06-07,184.939208984375,187.0526923639225,182.5496464816692,186.47196018257551,2143300,AMT
2024-06-10,185.37713623046875,186.66236765915863,183.45405383084568,184.55839932977034,2874700,AMT
2024-06-11,183.9967041015625,186.9193946855638,183.87293699116864,185.37712865548227,2781800,AMT
2024-06-12,184.52032470703125,189.29944950233158,184.35846869782358,188.45215319564906,3331500,AMT
2024-06-13,187.3383026123047,188.0237574725651,184.68217592378863,184.71073533241136,1531300,AMT
2024-06-14,189.13336181640625,189.82450657724053,187.11752048943256,187.11752048943256,1933200,AMT
2024-06-17,184.57371520996094,187.16550047601262,184.48732578544866,187.05031457666294,1779700,AMT
2024-06-18,185.0536651611328,188.12541102442955,184.84248125985243,184.86168379103418,2407800,AMT
2024-06-20,186.38796997070312,186.84872822426593,183.8441836625284,184.15135094915667,2236300,AMT
2024-06-21,187.0407257080078,188.499795963486,185.17847549938756,186.32078452306126,2828400,AMT
2024-06-24,188.51898193359375,190.74600683404424,185.95599329802957,186.89671226248348,1792200,AMT
2024-06-25,184.95767211914062,189.51729935581088,184.4873199468546,188.48059699999183,1345100,AMT
2024-06-26,184.94808959960938,185.5144398181211,182.74987561979287,183.68100072688412,1828500,AMT
2024-06-27,187.49188232421875,187.57827174752748,184.46812068324982,185.5048377046757,1599300,AMT
2024-06-28,186.58953857421875,189.94926369308314,186.02317377942276,188.3173854889863,2393900,AMT
2024-07-01,186.2439727783203,188.05822382009646,183.94015239928987,186.60873298672274,1691700,AMT
2024-07-02,184.56411743164062,187.41508555921808,183.87297275542548,186.56075597990215,1913600,AMT
2024-07-03,186.98312377929688,187.26150924837242,184.75611326289933,185.33207208721734,1182600,AMT
2024-07-05,187.79905700683594,188.49020171504316,185.7160289394373,187.1655052497725,1018500,AMT
2024-07-08,188.30780029296875,189.47890570342753,186.71432707582125,187.30948837035524,1508800,AMT
2024-07-09,188.1062469482422,188.3654152394192,185.0152981625563,187.7126755690217,1577100,AMT
2024-07-10,188.88377380371094,189.5749185145754,186.03280553320536,189.47892049747273,1576900,AMT
2024-07-11,198.89576721191406,199.07815467288046,191.9843341132843,193.03064521886353,2256000,AMT
2024-07-12,202.16909790039062,203.68577585461685,199.18374100355607,200.68121642368675,2238600,AMT
